B3KY71	P62258
D3DTH5	P62258
P29360	P62258
P42655	P62258
Q4VJB6	P62258
Q53XZ5	P62258
Q63631	P62258
Q7M4R4	P62258
O70457	P61981
P35214	P61981
Q6FH52	P61981
Q9UDP2	P61981
Q9UN99	P61981
Q6FH30	P31947
Q6FH51	P31947
Q96DH0	P31947
A8K1N0	P63104
B7Z465	P63104
P29213	P63104
P29312	P63104
Q32P43	P63104
Q5XJ08	P63104
Q6GPI2	P63104
Q6IN74	P63104
Q6NUR9	P63104
Q6P3U9	P63104
Q86V33	P63104
O77964	P30443
O78171	P30443
Q9MYA3	P30443
Q9TP25	P30443
Q9TQP5	P30443
A4FU37	Q16537
B7ZAW5	Q16537
B7ZKK8	Q16537
B7ZKK9	Q16537
J3KQN6	Q16537
Q52LW4	Q16537
P01914	Q30167
Q9MYF5	Q30167
A7LA26	Q95IE3
B0LUZ6	Q95IE3
B6VCX2	Q95IE3
B7UDB2	Q95IE3
O19585	Q95IE3
Q19AF2	Q95IE3
Q29771	Q95IE3
Q2L9H4	Q95IE3
Q2MZ92	Q95IE3
Q5EER6	Q95IE3
Q5NDB9	Q95IE3
Q5UT58	Q95IE3
Q5Y7G0	Q95IE3
Q768U4	Q95IE3
Q7YP04	Q95IE3
Q861H8	Q95IE3
Q95IT6	Q95IE3
Q9BD40	Q95IE3
A0MWF2	Q5Y7A7
A2ICT1	Q5Y7A7
A4ZXA5	Q5Y7A7
A4ZXA6	Q5Y7A7
A7UHG2	Q5Y7A7
A7X5K7	Q5Y7A7
A8YQE9	Q5Y7A7
B0BK85	Q5Y7A7
B3VTQ3	Q5Y7A7
B5A8Y2	Q5Y7A7
B5A8Y3	Q5Y7A7
B5B9V6	Q5Y7A7
B5QSK8	Q5Y7A7
C0LAB5	Q5Y7A7
O02930	Q5Y7A7
O62889	Q5Y7A7
O78047	Q5Y7A7
P79545	Q5Y7A7
Q14280	Q5Y7A7
Q14QT2	Q5Y7A7
Q19K86	Q5Y7A7
Q1G0Z9	Q5Y7A7
Q1KLJ6	Q5Y7A7
Q29673	Q5Y7A7
Q29720	Q5Y7A7
Q29722	Q5Y7A7
Q29806	Q5Y7A7
Q29833	Q5Y7A7
Q29874	Q5Y7A7
Q29886	Q5Y7A7
Q2MF40	Q5Y7A7
Q2YHQ2	Q5Y7A7
Q30112	Q5Y7A7
Q3LA93	Q5Y7A7
Q3LA94	Q5Y7A7
Q3LA95	Q5Y7A7
Q3LA96	Q5Y7A7
Q3LA97	Q5Y7A7
Q3LA98	Q5Y7A7
Q3LA99	Q5Y7A7
Q3LAA0	Q5Y7A7
Q3LAA1	Q5Y7A7
Q3LAA2	Q5Y7A7
Q3MQ60	Q5Y7A7
Q53IG1	Q5Y7A7
Q56FP2	Q5Y7A7
Q56FP3	Q5Y7A7
Q58F52	Q5Y7A7
Q5K3W2	Q5Y7A7
Q5UBA2	Q5Y7A7
Q5W3L4	Q5Y7A7
Q6REE2	Q5Y7A7
Q6U387	Q5Y7A7
Q701T1	Q5Y7A7
Q70Q85	Q5Y7A7
Q768U2	Q5Y7A7
Q7YP03	Q5Y7A7
Q7YQ26	Q5Y7A7
Q7YQA3	Q5Y7A7
Q860E5	Q5Y7A7
Q860H8	Q5Y7A7
Q860Z3	Q5Y7A7
Q861G6	Q5Y7A7
Q861H0	Q5Y7A7
Q861H4	Q5Y7A7
Q8HWQ6	Q5Y7A7
Q8WMA0	Q5Y7A7
Q95389	Q5Y7A7
Q95HL1	Q5Y7A7
Q96HZ9	Q5Y7A7
Q9BCP5	Q5Y7A7
Q9BD21	Q5Y7A7
Q9GIP3	Q5Y7A7
Q9GJ25	Q5Y7A7
Q9GJ60	Q5Y7A7
Q9GJF8	Q5Y7A7
Q9GJF9	Q5Y7A7
Q9GJG0	Q5Y7A7
Q9MY45	Q5Y7A7
Q9MY56	Q5Y7A7
Q9TPW3	Q5Y7A7
Q9TPW9	Q5Y7A7
Q9TPX4	Q5Y7A7
Q9UBY1	Q5Y7A7
Q9UIN0	Q5Y7A7
Q9XRX1	Q5Y7A7
Q9Y453	Q5Y7A7
A6NE56	P46952
B4DIN2	P46952
Q53QZ7	P46952
Q8N6N9	P46952
A6NFY5	P30542
A6NGP4	P30542
A8K1L3	P30542
B3KXQ4	P30542
D2CGD0	P30542
Q6FHK3	P30542
Q8TAM8	P30542
